#Plane_1x2
#Card       tzero  t_zero_err      entries
0    -42.28228     2.79216             5137
1    -33.22241     1.05502             370274
2    -35.51594     1.14655             533118
3    -32.91261     0.91836             466052
4    -31.99950     1.31556             374838
5    -31.68592     2.10643             130307
6    -21.14224     4.84077             7914
