#Plane_1x2
#Card       tzero  t_zero_err      entries
0    -29.50000     0.00000             100
1    -33.42772     3.26625             42448
2    -35.41887     3.00205             52055
3    -33.76525     3.18786             38122
4    -32.54093     4.33061             27433
5    -32.42839     6.46653             12825
6    -19.50000     0.00000             443
