#Plane_2x1
#Card       tzero  t_zero_err      entries
0    -32.59394     7.74072             2963
1    -30.37786     3.31047             46021
2    -32.38657     3.39274             46544
3    -22.26427     3.06218             35053
4    -23.22180     3.00951             26388
5    -23.53244     2.65359             15967
6    -19.50000     0.00000             1168
