#Plane_2v2
#Card       tzero  t_zero_err      entries
0    0.50000     0.00000             140
1    -22.37995     1.23791             85929
2    -21.20467     0.70904             305043
3    -20.49776     0.86027             264935
4    -29.92538     2.09061             49481
5    -29.50000     0.00000             264
