#Plane_1v1
#Card       tzero  t_zero_err      entries
0    0.50000     0.00000             328
1    -4.52914     0.61742             12052
2    -4.20036     0.27217             79543
3    -0.55240     0.14728             282837
4    -12.96532     0.58688             162741
5    -11.86496     0.94069             69522
6    0.50000     0.00000             1089
