#Plane_1u2
#Card       tzero  t_zero_err      entries
0    0.50000     0.00000             5
1    -7.50000     0.00000             634
2    -8.12427     0.58579             41411
3    -6.61392     0.20716             372548
4    -4.66363     0.19782             142933
5    -4.69880     0.32967             47226
6    0.50000     0.00000             984
