#Plane_1u2
#Card       tzero  t_zero_err      entries
0    14.50000     0.00000             11
1    -23.66974     5.49826             4882
2    -25.23640     3.00176             16424
3    -66.52849     5.33650             6381
4    -27.50000     0.00000             1145
5    40.50000     0.00000             56
