#Plane_2u2
#Card       tzero  t_zero_err      entries
0    -29.50000     0.00000             833
1    -31.56391     5.91423             7456
2    -31.05992     3.55882             16191
3    70.50000     0.00000             4068
4    -9.50000     0.00000             357
5    -9.50000     0.00000             19
