#Plane_2v2
#Card       tzero  t_zero_err      entries
0    0.50000     0.00000             31
1    -11.57258     1.79354             5164
2    -1.37206     0.17666             57739
3    -0.78243     0.10834             256176
4    -6.23539     0.47229             84404
5    -4.54889     0.60054             32232
6    -3.50000     0.00000             3412
