#Plane_2u1
#Card       tzero  t_zero_err      entries
0    -2.75917     1.88210             2081
1    -6.84828     0.66314             22375
2    -1.34823     0.14249             94772
3    -1.00914     0.14024             184610
4    -8.06956     0.51088             87408
5    -10.05175     1.11154             39677
6    -2.30913     0.87224             4306
