#Plane_1u2
#Card       tzero  t_zero_err      entries
0    10.50000     0.00000             7
1    -10.88523     1.84137             2789
2    -7.71095     0.59372             46949
3    -6.70432     0.18610             269539
4    -4.56528     0.29570             88213
5    -4.40542     0.35227             27644
6    2.50000     0.00000             627
