#Plane_2v1
#Card       tzero  t_zero_err      entries
0    0.50000     0.00000             153
1    -13.10512     2.40935             7612
2    -1.01405     0.22605             85958
3    -0.92138     0.18313             246299
4    -5.05913     0.28033             68298
5    -6.31772     0.83857             26936
6    0.50000     0.00000             1505
