#Plane_2x1
#Card       tzero  t_zero_err      entries
0    -5.45459     0.37086             48414
1    -6.36048     0.47422             83224
2    -9.54164     0.49732             104909
3    -8.90538     0.57483             115374
4    0.07205     0.27661             86133
