#Plane_2u2
#Card       tzero  t_zero_err      entries
0    0.50000     0.00000             899
1    -2.45513     0.47094             17336
2    -1.38301     0.16701             71658
3    -10.01327     0.37681             212467
4    -8.19676     0.44922             115006
5    -9.00510     0.63439             56939
6    -3.32682     0.82096             9680
