#Plane_1v2
#Card       tzero  t_zero_err      entries
0    10.50000     0.00000             149
1    -4.13560     0.58639             13844
2    -3.06683     0.40801             64513
3    -9.78880     0.30801             229598
4    -10.72325     0.54784             121440
5    -8.55497     0.60425             52706
6    -8.21265     1.36908             2545
