#Plane_1x2
#Card       tzero  t_zero_err      entries
0    -4.82286     0.54417             27115
1    -5.18422     0.25248             88892
2    -12.46378     0.57452             134966
3    -9.11223     0.51262             153292
4    -6.71510     0.38078             84707
