#Plane_1x1
#Card       tzero  t_zero_err      entries
0    -12.61518     1.14207             28648
1    -11.20790     0.63294             90042
2    -9.73848     0.53159             136505
3    -5.09858     0.22388             154001
4    -2.28455     0.31738             81743
