#Plane_1u2
#Card       tzero  t_zero_err      entries
0    140.50000     0.00000             1
1    -8.29097     1.91019             2042
2    -8.11421     0.58348             46062
3    -6.63035     0.23435             303139
4    -4.17610     0.19312             102467
5    -4.36855     0.34834             32029
6    -5.50000     0.00000             688
