#Plane_2x2
#Card       tzero  t_zero_err      entries
0    -7.14780     0.59382             42237
1    -9.49379     0.53776             86439
2    -6.24310     0.31814             118760
3    -3.11278     0.18900             134082
4    -0.75689     0.16535             106770
