#Plane_1v2
#Card       tzero  t_zero_err      entries
0    -29.50000     0.00000             1433
1    -33.51451     3.77007             21668
2    -33.11147     3.19736             69753
3    74.43225     6.42849             35962
4    -23.26066     3.43068             4349
5    -9.50000     0.00000             137
