#Plane_1u2
#Card       tzero  t_zero_err      entries
0    -19.50000     0.00000             21
1    -26.30983     4.24068             14172
2    -24.35580     1.79502             65959
3    -30.82981     3.09449             42745
4    -31.46242     5.19630             11290
5    -27.50000     0.00000             612
