#Plane_2x1
#Card       tzero  t_zero_err      entries
0    -31.02771     3.17397             20114
1    -31.31090     1.31507             280135
2    -31.36261     0.93003             354096
3    -22.01965     0.62747             331816
4    -22.78559     0.74597             317023
5    -23.26567     0.82993             257618
6    -21.18470     2.07087             25904
