#Plane_2v1
#Card       tzero  t_zero_err      entries
0    -9.50000     0.00000             229
1    -19.68951     0.72512             163226
2    -30.55629     0.81964             577213
3    -30.60655     0.67708             614140
4    -31.40171     1.29697             226689
5    80.92870     8.31200             15198
