#Plane_1v1
#Card       tzero  t_zero_err      entries
0    -33.80219     7.06385             9741
1    -33.06620     1.74544             150319
2    -24.20557     0.61079             709297
3    -29.66595     0.93960             619738
4    -31.93225     2.76483             77742
5    -29.50000     0.00000             914
