#Plane_1u1
#Card       tzero  t_zero_err      entries
0    40.50000     0.00000             34
1    -3.50000     0.00000             364
2    -8.23723     0.50435             95660
3    -7.84436     0.16832             494621
4    -5.04239     0.16299             207379
5    -5.80332     0.37291             65045
6    0.50000     0.00000             400
