#Plane_2v2
#Card       tzero  t_zero_err      entries
0    -9.50000     0.00000             95
1    -9.50000     0.00000             836
2    -2.34786     0.26671             72208
3    -0.48977     0.08195             449093
4    -5.70872     0.23981             223052
5    -3.02577     0.18942             94474
6    -3.33825     0.82108             9620
