#Plane_2u2
#Card       tzero  t_zero_err      entries
0    10.50000     0.00000             146
1    -3.71267     1.84260             2989
2    -2.02252     0.29365             42579
3    -9.59948     0.31017             286561
4    -8.04420     0.32755             293625
5    -9.14301     0.40181             184670
6    -2.97403     0.39092             33718
