#Plane_1u2
#Card       tzero  t_zero_err      entries
0    30.50000     0.00000             24
1    -5.50000     0.00000             226
2    -8.83293     0.72221             52133
3    -6.51583     0.15406             484728
4    -4.64340     0.18020             239964
5    -5.26747     0.31394             85432
6    0.50000     0.00000             1608
