#Plane_1x2
#Card       tzero  t_zero_err      entries
0    0.50000     0.00000             1698
1    -5.30267     0.42202             34019
2    -12.56795     0.66143             178597
3    -9.25797     0.29942             378179
4    -6.97759     0.28253             270209
