#Plane_2x2
#Card       tzero  t_zero_err      entries
0    -9.51022     1.02720             3993
1    -9.23119     0.90016             43295
2    -5.78060     0.27929             162849
3    -3.17887     0.10232             314035
4    -0.76017     0.10024             322430
