#Plane_2u2
#Card       tzero  t_zero_err      entries
0    -32.14878     2.96643             37989
1    -30.67742     0.83614             346186
2    -29.53728     0.54213             1242086
3    70.12583     2.54578             241748
4    -5.50000     0.00000             97
5    -9.50000     0.00000             13
