#Plane_1u2
#Card       tzero  t_zero_err      entries
0    40.50000     0.00000             33
1    -26.74205     3.41345             10206
2    -25.48312     2.18350             41566
3    -31.59743     5.13881             20555
4    -35.10764     4.30298             4682
5    -21.50000     0.00000             249
