#Plane_1x2
#Card       tzero  t_zero_err      entries
0    30.50000     0.00000             68
1    -33.65174     3.55383             22034
2    -35.31434     4.88410             25090
3    -33.26669     4.65857             16145
4    -32.38505     4.76887             9527
5    -35.00459     7.65456             3746
6    -7.50000     0.00000             133
