#Plane_1v2
#Card       tzero  t_zero_err      entries
0    -31.50000     0.00000             973
1    -34.82455     6.11643             15484
2    -32.81061     3.62784             44207
3    74.07940     8.45125             15067
4    -19.50000     0.00000             1120
5    -19.50000     0.00000             31
