#Plane_2x2
#Card       tzero  t_zero_err      entries
0    -19.50000     0.00000             2055
1    -23.19717     3.08197             23983
2    -23.48010     2.64507             22125
3    -21.43892     3.17009             14769
4    -31.80508     5.65690             9320
5    -39.36335     3.87886             4537
6    -29.50000     0.00000             277
