#Plane_1x1
#Card       tzero  t_zero_err      entries
0    -27.80629     5.76485             3536
1    -32.47702     1.16876             441983
2    -26.55484     0.68636             608442
3    -34.16422     0.87359             446456
4    -34.76621     1.21508             297073
5    -34.21976     2.15045             93874
6    -34.29339     14.72417             4243
