#Plane_2u1
#Card       tzero  t_zero_err      entries
0    -32.85423     2.82858             33373
1    -29.83700     0.90317             268260
2    -21.11759     0.34259             1009800
3    -20.58558     0.50812             594485
4    -24.35756     3.04618             22893
5    -19.50000     0.00000             621
